(11, 28, 39)
(12, 29, 40)
(15, 35, 48)
(16, 37, 49)
(16, 36, 48)
(14, 34, 46)
(15, 35, 48)
(16, 36, 49)
(16, 37, 49)
(16, 36, 49)
(16, 36, 48)
(16, 36, 48)
(16, 36, 48)
(15, 35, 48)
(14, 34, 46)
(14, 34, 47)
(12, 29, 40)
(12, 28, 39)
(12, 26, 36)
(11, 26, 36)
(10, 24, 33)
(7, 19, 27)
(4, 10, 16)
(3, 9, 14)
(6, 15, 22)
(8, 19, 28)
(13, 29, 41)
(13, 30, 42)
(12, 30, 41)
(11, 27, 38)
(7, 19, 27)
(6, 16, 24)
(5, 14, 21)
(6, 14, 22)
(6, 15, 22)
(5, 14, 20)
(4, 10, 15)
(4, 10, 15)
(4, 11, 17)
(4, 11, 17)
(5, 12, 19)
(5, 13, 20)
(5, 13, 19)
(5, 13, 19)
(5, 12, 18)
(5, 12, 19)
(5, 13, 19)
(7, 17, 25)
(10, 23, 33)
(10, 23, 34)
(10, 24, 35)
(12, 29, 40)
(10, 26, 36)
(7, 18, 26)
(7, 18, 26)
(8, 21, 30)
(11, 26, 37)
(11, 27, 37)
(12, 30, 40)
(14, 32, 43)
(16, 36, 48)
(17, 37, 48)
(17, 37, 48)
(17, 37, 47)
(17, 36, 47)
(17, 36, 47)
(17, 36, 46)
(18, 35, 44)
(17, 33, 41)
(17, 32, 39)
(16, 32, 39)
(16, 31, 38)
(16, 31, 37)
(16, 30, 36)
(16, 30, 37)
(16, 31, 38)
(17, 34, 42)
(17, 35, 44)
(15, 33, 45)
(13, 30, 41)
(14, 30, 40)
(13, 27, 36)
(11, 25, 33)
(11, 24, 32)
(11, 25, 34)
(12, 27, 37)
(13, 30, 40)
(14, 32, 44)
(16, 35, 47)
(16, 36, 48)
(15, 35, 47)
(15, 35, 48)
(13, 32, 43)
(8, 20, 28)
(6, 14, 20)
(4, 12, 17)
(5, 12, 19)
(7, 17, 25)
(8, 21, 30)
(10, 26, 36)
